Language_ID,Family,Latitude,Longitude,abs_latitude,n_total,n_v_final,n_v_initial,n_concepts,mean_final_cluster,dataset,is_unknown_or_isolate,passes_concept_threshold,has_family,has_abs_latitude,in_primary_sample,Macroarea,_macroarea_merge,macroarea_id_matched,has_macroarea,in_macroarea_sample,macroarea_exclusion_reason
TARAON,Sino-Tibetan,28.42,96.0,28.42,103,67,10,93,0.36893203883495146,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TARASCAN,Tarascan,19.5,-101.67,19.5,106,105,36,98,0.009433962264150943,ASJP,False,True,True,True,True,North America,both,True,True,True,included
TARIANA,Arawakan,1.0,-69.17,1.0,40,40,5,40,0.0,ASJP,False,True,True,True,True,South America,both,True,True,True,included
TARIANG,Austroasiatic,16.5,106.08,16.5,13,3,0,13,0.7692307692307693,ASJP,False,False,True,True,False,Eurasia,both,True,True,False,fewer_than_20_concepts
TARIANO,Arawakan,1.0,-69.17,1.0,38,35,3,33,0.07894736842105263,ASJP,False,True,True,True,True,South America,both,True,True,True,included
TARIFIT_BENI_IZNASSEN,Afro-Asiatic,34.05,-4.0,34.05,34,5,18,34,0.9705882352941176,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TARIFIT_GUELAIA,Afro-Asiatic,34.5,-4.0,34.5,35,8,16,35,0.9428571428571428,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TARINDING,Austronesian,-2.42,119.33,2.42,32,23,8,30,0.28125,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAROK,Atlantic-Congo,9.0,10.08,9.0,28,11,14,28,0.6071428571428571,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TARPIA,Austronesian,-2.33,140.0,2.33,36,22,5,34,0.3888888888888889,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TARUMA,Taruma,-0.91,-59.9,0.91,16,15,8,16,0.0625,ASJP,False,False,True,True,False,South America,both,True,True,False,fewer_than_20_concepts
TASAWAQ,Songhay,16.51,7.01,16.51,38,23,8,38,0.42105263157894735,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TASHELHIT_IDA_USEMLAL,Afro-Asiatic,29.53,-9.61,29.53,35,5,19,35,1.4857142857142858,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TASMATE,Austronesian,-15.16,166.64,15.16,33,32,5,33,0.030303030303030304,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TATABA_MARINGE_CHEKE_HOLO,Austronesian,-8.33,159.67,8.33,33,33,1,33,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TATANA,Austronesian,5.5,115.5,5.5,23,13,9,21,0.43478260869565216,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TATANA_2,Austronesian,5.5,115.5,5.5,84,3,20,82,0.9642857142857143,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TATAR,Turkic,56.0,49.5,56.0,38,6,6,35,0.868421052631579,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TATAR_2,Turkic,56.0,49.5,56.0,107,39,23,99,0.6355140186915887,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TATIC_KOLURI,Indo-European,37.0,48.0,37.0,43,12,12,38,0.9069767441860465,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TATIC_LAHIJANI,Indo-European,37.33,50.0,37.33,47,14,9,40,0.851063829787234,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TATIC_LERIKI,Indo-European,38.75,48.67,38.75,47,19,11,40,0.7021276595744681,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TATIC_MASULEI,Indo-European,37.0,48.0,37.0,47,14,12,39,0.851063829787234,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TATIC_SARAVI,Indo-European,36.5,52.0,36.5,44,19,9,40,0.6818181818181818,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TATIC_VAFSI,Indo-European,34.67,49.92,34.67,43,19,13,40,0.7441860465116279,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TATUYO,Tucanoan,0.75,-70.5,0.75,44,44,13,39,0.0,ASJP,False,True,True,True,True,South America,both,True,True,True,included
TAUADE,Tauade,-8.42,147.17,8.42,38,38,12,34,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAUADE_2,Tauade,-8.42,147.17,8.42,99,93,35,96,0.06060606060606061,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAULIL,Taulil-Butam,-4.44,152.09,4.44,23,16,2,19,0.30434782608695654,ASJP,False,False,True,True,False,Papunesia,both,True,True,False,fewer_than_20_concepts
TAULIL_3,Taulil-Butam,-4.42,152.08,4.42,98,29,13,94,0.7040816326530612,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAUPE,Austronesian,-3.08,119.67,3.08,33,24,7,30,0.2727272727272727,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAUPOTA,Austronesian,-10.25,150.42,10.25,22,21,6,16,0.045454545454545456,ASJP,False,False,True,True,False,Papunesia,both,True,True,False,fewer_than_20_concepts
TAUREPANG,Cariban,5.33,-62.0,5.33,37,23,15,37,0.3783783783783784,ASJP,False,True,True,True,True,South America,both,True,True,True,included
TAUSE,Lakes Plain,-2.83,137.0,2.83,36,36,12,36,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
