Family,n_languages,n_exact_one,share_exact_one,mean_rate,median_n_total,mean_abs_latitude,database,share_of_all_boundary_languages
Keram,7,0,0.0,0.4602817349976628,153.0,4.265998571428572,Lexibank,0.0
Khoe-Kwadi,2,0,0.0,0.7163230667329028,171.5,25.0747,Lexibank,0.0
Kiowa-Tanoan,4,0,0.0,0.678597909007988,118.0,35.44286675,Lexibank,0.0
Klamath-Modoc,1,0,0.0,0.22433460076045628,263.0,42.5861,Lexibank,0.0
Kol (Papua New Guinea),1,0,0.0,0.7547169811320755,212.0,5.21042,Lexibank,0.0
Koman,1,0,0.0,0.3737864077669903,206.0,9.16012,Lexibank,0.0
Koreanic,30,0,0.0,0.4945427025719427,251.5,37.36678766666667,Lexibank,0.0
Kuliak,1,0,0.0,0.24279835390946503,243.0,2.58367,Lexibank,0.0
Kunimaipan,2,0,0.0,0.8416133162612036,126.0,8.09371,Lexibank,0.0
Kunza,2,0,0.0,0.5243364851977356,556.5,23.0,Lexibank,0.0
Kuot,2,0,0.0,0.46829955758527186,241.0,3.06952,Lexibank,0.0
Kusunda,2,0,0.0,0.5962869729389553,225.5,28.0,Lexibank,0.0
Kxa,2,0,0.0,0.716640502354788,185.5,18.97775,Lexibank,0.0
Lavukaleve,3,0,0.0,0.7664511705358018,205.0,9.05569,Lexibank,0.0
Left May,5,0,0.0,0.8966613630343998,162.0,4.2951999999999995,Lexibank,0.0
Lencan,3,0,0.0,0.5923444976076554,110.0,13.719266666666668,Lexibank,0.0
Lengua-Mascoy,6,0,0.0,0.4782571173236508,751.0,22.680073333333336,Lexibank,0.0
Limilngan-Wulna,1,0,0.0,0.40425531914893614,188.0,12.4294,Lexibank,0.0
Lower Sepik,12,0,0.0,0.3406014947804907,137.0,4.209579166666667,Lexibank,0.0
Lule,1,0,0.0,0.375609756097561,205.0,25.221839,Lexibank,0.0
Lule-Vilela,1,0,0.0,0.49830508474576274,295.0,25.22,Lexibank,0.0
Maban,1,0,0.0,0.48333333333333334,240.0,9.7154,Lexibank,0.0
Maiduan,3,0,0.0,0.5706649726347969,257.0,38.83473333333333,Lexibank,0.0
Mairasic,1,0,0.0,0.5185185185185185,162.0,3.4511,Lexibank,0.0
Mangarrayi-Maran,1,0,0.0,0.7615062761506276,239.0,15.5458,Lexibank,0.0
Maningrida,2,0,0.0,0.9066332218506132,232.0,12.191315,Lexibank,0.0
Mataguayan,12,0,0.0,0.30561250059605366,330.0,23.207925,Lexibank,0.0
Mayan,4,0,0.0,0.13790326743650988,844.0,15.684975,Lexibank,0.0
Maybratic,4,0,0.0,0.48990759546130475,219.0,1.2165949999999999,Lexibank,0.0
Mirndi,1,0,0.0,0.7569721115537849,251.0,17.165,Lexibank,0.0
Misumalpan,6,0,0.0,0.682515226822027,110.0,14.379199999999999,Lexibank,0.0
Miwok-Costanoan,7,0,0.0,0.7957023126248371,278.0,38.200047142857144,Lexibank,0.0
Mixe-Zoque,12,0,0.0,0.25379991488342807,111.5,17.408533333333335,Lexibank,0.0
Molof,1,0,0.0,0.7411764705882353,85.0,3.41946,Lexibank,0.0
Mongolic-Khitan,17,0,0.0,0.47958580167395604,294.0,42.90145882352941,Lexibank,0.0
Mosetén-Chimané,4,0,0.0,0.4709133269712869,508.0,14.78686,Lexibank,0.0
Movima,4,0,0.0,0.8451852101821438,372.5,13.8115,Lexibank,0.0
Muniche,2,0,0.0,0.9859104951156383,160.5,5.7441796,Lexibank,0.0
Muskogean,2,0,0.0,0.7872951997700488,191.0,32.33334,Lexibank,0.0
Máku,1,0,0.0,0.99,100.0,3.969231,Lexibank,0.0
Naduhup,7,0,0.0,0.11193189127462132,300.0,0.41110671428571427,Lexibank,0.0
Nakh-Daghestanian,67,0,0.0,0.4745546250329125,1492.0,42.17143505970149,Lexibank,0.0
Nambiquaran,1,0,0.0,0.7777777777777778,216.0,14.3707,Lexibank,0.0
Namla-Tofanma,1,0,0.0,0.9302325581395349,86.0,3.74322,Lexibank,0.0
Nara,1,0,0.0,0.7631578947368421,190.0,15.3251,Lexibank,0.0
Natchez,1,0,0.0,0.41245136186770426,257.0,31.75,Lexibank,0.0
Ndu,7,0,0.0,0.6711771941374173,133.0,4.11142,Lexibank,0.0
Nilotic,2,0,0.0,0.6062842446606285,185.0,2.03743,Lexibank,0.0
Nimboranic,1,0,0.0,0.6392405063291139,158.0,2.5803,Lexibank,0.0
Nivkh,2,0,0.0,0.19475298408488065,581.0,52.59,Lexibank,0.0
North Halmahera,5,0,0.0,0.9268662670553297,253.0,0.961476,Lexibank,0.0
Nubian,2,0,0.0,0.6638204856723249,1008.0,11.6432,Lexibank,0.0
Nuclear Torricelli,3,0,0.0,0.5584858762698056,164.0,3.7558139999999995,Lexibank,0.0
Nyulnyulan,9,0,0.0,0.47159729901132597,211.0,17.229807666666666,Lexibank,0.0
Odiai,1,0,0.0,0.9523809523809523,84.0,3.82276,Lexibank,0.0
