Family,n_languages,observed_share_exact_one,ppc_median,ppc_2.5,ppc_97.5,residual_observed_minus_ppc_median,bayesian_p_ge_observed
Timor-Alor-Pantar,60,0.03333333333333333,0.016666666666666666,0.0,0.06666666666666667,0.016666666666666666,0.3
Afro-Asiatic,488,0.03483606557377049,0.02459016393442623,0.012295081967213115,0.0430327868852459,0.01024590163934426,0.15083333333333335
Sino-Tibetan,995,0.062311557788944726,0.054271356783919596,0.04017587939698493,0.07236180904522613,0.00804020100502513,0.1975
Indo-European,576,0.013888888888888888,0.013888888888888888,0.005208333333333333,0.024305555555555556,0.0,0.5208333333333334
Austroasiatic,201,0.0,0.0,0.0,0.009950248756218905,0.0,1.0
Mayan,108,0.0,0.0,0.0,0.009259259259259259,0.0,1.0
Dravidian,84,0.07142857142857142,0.07142857142857142,0.023809523809523808,0.14285714285714285,0.0,0.6158333333333333
Turkic,76,0.0,0.0,0.0,0.013157894736842105,0.0,1.0
Nakh-Daghestanian,61,0.01639344262295082,0.01639344262295082,0.0,0.04918032786885246,0.0,0.565
Ramu,40,0.0,0.0,0.0,0.05,0.0,1.0
Mongolic-Khitan,33,0.0,0.0,0.0,0.06060606060606061,0.0,1.0
Salishan,30,0.0,0.0,0.0,0.0,0.0,1.0
Mixe-Zoque,26,0.0,0.0,0.0,0.038461538461538464,0.0,1.0
Yam,25,0.0,0.0,0.0,0.08,0.0,1.0
Ainu,23,0.0,0.0,0.0,0.08695652173913043,0.0,1.0
Sko,22,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.5454545454545454,0.0,0.5991666666666666
Ndu,19,0.0,0.0,0.0,0.15789473684210525,0.0,1.0
Tor-Orya,19,0.0,0.0,0.0,0.05263157894736842,0.0,1.0
South Bird's Head,18,0.5555555555555556,0.5555555555555556,0.2777777777777778,0.8333333333333334,0.0,0.565
Koiarian,17,0.5294117647058824,0.5294117647058824,0.17647058823529413,0.7647058823529411,0.0,0.5066666666666667
Eskimo-Aleut,16,0.0,0.0,0.0,0.0625,0.0,1.0
Left May,15,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.6666666666666666,0.0,0.5841666666666666
Border,15,0.0,0.0,0.0,0.2,0.0,1.0
Keram,15,0.0,0.0,0.0,0.06666666666666667,0.0,1.0
Lower Sepik,15,0.0,0.0,0.0,0.06666666666666667,0.0,1.0
Surmic,14,0.0,0.0,0.0,0.21428571428571427,0.0,1.0
Gunwinyguan,14,0.0,0.0,0.0,0.14285714285714285,0.0,1.0
Greater Kwerba,13,0.0,0.0,0.0,0.15384615384615385,0.0,1.0
Nubian,13,0.0,0.0,0.0,0.15384615384615385,0.0,1.0
Cochimi-Yuman,13,0.0,0.0,0.0,0.07692307692307693,0.0,1.0
Heibanic,11,0.0,0.0,0.0,0.18181818181818182,0.0,1.0
Pauwasi,11,0.0,0.0,0.0,0.2727272727272727,0.0,1.0
East Strickland,10,0.3,0.3,0.0,0.7,0.0,0.7025
Great Andamanese,10,0.0,0.0,0.0,0.2,0.0,1.0
Burushaski,10,0.0,0.0,0.0,0.1,0.0,1.0
Iroquoian,10,0.0,0.0,0.0,0.1,0.0,1.0
Totonacan,10,0.0,0.0,0.0,0.1,0.0,1.0
Western Daly,9,0.0,0.0,0.0,0.2222222222222222,0.0,1.0
Yeniseian,9,0.0,0.0,0.0,0.0,0.0,1.0
Blue Nile Mao,9,0.1111111111111111,0.1111111111111111,0.0,0.5555555555555556,0.0,0.7683333333333333
Geelvink Bay,9,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.535
Yuat,9,0.0,0.0,0.0,0.2222222222222222,0.0,1.0
Dizoid,9,0.0,0.0,0.0,0.1111111111111111,0.0,1.0
Nimboranic,9,0.0,0.0,0.0,0.1111111111111111,0.0,1.0
Yawa-Saweru,8,0.0,0.0,0.0,0.25312499999998295,0.0,1.0
Dajuic,8,0.0,0.0,0.0,0.375,0.0,1.0
Mataguayan,8,0.0,0.0,0.0,0.125,0.0,1.0
Kiowa-Tanoan,8,0.0,0.0,0.0,0.375,0.0,1.0
West Bird's Head,8,0.0,0.0,0.0,0.125,0.0,1.0
Baining,8,0.0,0.0,0.0,0.125,0.0,1.0
Abkhaz-Adyge,7,0.0,0.0,0.0,0.42857142857142855,0.0,1.0
Arafundi,7,0.0,0.0,0.0,0.14285714285714285,0.0,1.0
Chukotko-Kamchatkan,7,0.0,0.0,0.0,0.0,0.0,1.0
