Family,n_languages,observed_share_exact_one,ppc_median,ppc_2.5,ppc_97.5,residual_observed_minus_ppc_median,bayesian_p_ge_observed
ISOLATE_OR_UNKNOWN__ULTERIOR_MIXE_C,1,0.0,0.0,0.0,1.0,0.0,1.0
Umbugarla,1,0.0,0.0,0.0,1.0,0.0,1.0
Urarina,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__VAIYANA,1,0.0,0.0,0.0,1.0,0.0,1.0
Vilela,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__VOLAPUK,1,0.0,0.0,0.0,0.0,0.0,1.0
Wageman,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__WANAM_YELMEK,1,0.0,0.0,0.0,1.0,0.0,1.0
Waorani,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__WIKCHAMNI,1,0.0,0.0,0.0,1.0,0.0,1.0
Xincan,1,0.0,0.0,0.0,1.0,0.0,1.0
Yámana,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__YAMBEN,1,0.0,0.0,0.0,1.0,0.0,1.0
Yana,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__YAWDANCHI,1,0.0,0.0,0.0,1.0,0.0,1.0
Yele,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__YITHA_YITHA,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__ZAPOTEC_1578,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__ZBU,1,0.0,0.0,0.0,1.0,0.0,1.0
Zuni,1,0.0,0.0,0.0,1.0,0.0,1.0
Tai-Kadai,224,0.0,0.008928571428571428,0.0,0.026785714285714284,-0.008928571428571428,1.0
Nuclear Torricelli,148,0.0,0.013513513513513514,0.0,0.04054054054054054,-0.013513513513513514,1.0
Uralic,65,0.0,0.015384615384615385,0.0,0.04653846153845944,-0.015384615384615385,1.0
Nilotic,62,0.0,0.016129032258064516,0.0,0.06451612903225806,-0.016129032258064516,1.0
Ta-Ne-Omotic,42,0.11904761904761904,0.14285714285714285,0.023809523809523808,0.30952380952380953,-0.023809523809523808,0.675
Central Sudanic,125,0.448,0.48,0.368,0.592,-0.03199999999999997,0.755
Tungusic,29,0.034482758620689655,0.06896551724137931,0.0,0.2413793103448276,-0.034482758620689655,0.8991666666666667
Mande,136,0.34558823529411764,0.3897058823529412,0.27941176470588236,0.5,-0.04411764705882354,0.7975
Hmong-Mien,113,0.017699115044247787,0.061946902654867256,0.017699115044247787,0.12389380530973451,-0.04424778761061947,0.9883333333333333
North Halmahera,21,0.2857142857142857,0.3333333333333333,0.09523809523809523,0.6190476190476191,-0.047619047619047616,0.6833333333333333
Siouan,18,0.2222222222222222,0.2777777777777778,0.05555555555555555,0.5555555555555556,-0.05555555555555558,0.675
Japonic,34,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.35294117647058826,-0.05882352941176472,0.8341666666666666
Dagan,17,0.11764705882352941,0.17647058823529413,0.0,0.47058823529411764,-0.05882352941176472,0.8133333333333334
Cariban,32,0.1875,0.25,0.09375,0.4375,-0.0625,0.7833333333333333
Pano-Tacanan,31,0.1935483870967742,0.25806451612903225,0.0967741935483871,0.4838709677419355,-0.06451612903225806,0.8083333333333333
Khoe-Kwadi,15,0.0,0.06666666666666667,0.0,0.3333333333333333,-0.06666666666666667,1.0
Songhay,14,0.0,0.07142857142857142,0.0,0.35714285714285715,-0.07142857142857142,1.0
Sentanic,12,0.0,0.08333333333333333,0.0,0.25,-0.08333333333333333,1.0
Kadugli-Krongo,11,0.18181818181818182,0.2727272727272727,0.0,0.6363636363636364,-0.09090909090909088,0.7466666666666667
Saharan,11,0.0,0.09090909090909091,0.0,0.36363636363636365,-0.09090909090909091,1.0
Quechuan,62,0.0,0.0967741935483871,0.03225806451612903,0.20967741935483872,-0.0967741935483871,1.0
Tuu,10,0.0,0.1,0.0,0.4,-0.1,1.0
Dogon,63,0.06349206349206349,0.1746031746031746,0.06349206349206349,0.30158730158730157,-0.1111111111111111,0.9916666666666667
South Omotic,7,0.0,0.14285714285714285,0.0,0.5714285714285714,-0.14285714285714285,1.0
Pomoan,7,0.0,0.14285714285714285,0.0,0.42857142857142855,-0.14285714285714285,1.0
Angan,18,0.0,0.16666666666666666,0.0,0.3888888888888889,-0.16666666666666666,1.0
Kamula-Elevala,5,0.2,0.4,0.0,0.8,-0.2,0.8425
Mairasic,5,0.0,0.2,0.0,0.8,-0.2,1.0
Walioic,5,0.0,0.2,0.0,0.6,-0.2,1.0
Piawi,4,0.0,0.25,0.0,0.75,-0.25,1.0
