Language_ID,Family,Latitude,Longitude,abs_latitude,n_total,n_concepts,is_unknown_or_isolate,macroarea_id_matched,Macroarea,macroarea_exclusion_reason
TOTONAC_TEJERIA,ISOLATE_OR_UNKNOWN__TOTONAC_TEJERIA,20.52,-97.88,20.52,40,40,True,False,,no_macroarea_match_by_Language_ID
TSHOBDUN,ISOLATE_OR_UNKNOWN__TSHOBDUN,32.18,101.84,32.18,34,34,True,False,,no_macroarea_match_by_Language_ID
TULAMNI,ISOLATE_OR_UNKNOWN__TULAMNI,35.22,-119.24,35.22,73,72,True,False,,no_macroarea_match_by_Language_ID
TZOTZIL_ZINACANTAN_1600,ISOLATE_OR_UNKNOWN__TZOTZIL_ZINACANTAN_1600,16.75,-92.7,16.75,47,36,True,False,,no_macroarea_match_by_Language_ID
ULTERIOR_MIXE_C,ISOLATE_OR_UNKNOWN__ULTERIOR_MIXE_C,17.22,-96.03,17.22,40,40,True,False,,no_macroarea_match_by_Language_ID
VAIYANA,ISOLATE_OR_UNKNOWN__VAIYANA,2.27,26.72,2.27,83,78,True,False,,no_macroarea_match_by_Language_ID
VOLAPUK,ISOLATE_OR_UNKNOWN__VOLAPUK,47.43,9.1,47.43,42,40,True,False,,no_macroarea_match_by_Language_ID
WANAM_YELMEK,ISOLATE_OR_UNKNOWN__WANAM_YELMEK,-7.45,139.11,7.45,108,98,True,False,,no_macroarea_match_by_Language_ID
WIKCHAMNI,ISOLATE_OR_UNKNOWN__WIKCHAMNI,36.05,-118.77,36.05,61,60,True,False,,no_macroarea_match_by_Language_ID
YAMBEN,ISOLATE_OR_UNKNOWN__YAMBEN,-4.77,145.57,4.77,91,78,True,False,,no_macroarea_match_by_Language_ID
YAWDANCHI,ISOLATE_OR_UNKNOWN__YAWDANCHI,36.05,-118.77,36.05,69,68,True,False,,no_macroarea_match_by_Language_ID
YITHA_YITHA,ISOLATE_OR_UNKNOWN__YITHA_YITHA,-33.89,144.22,33.89,28,23,True,False,,no_macroarea_match_by_Language_ID
YONGHE_QIANG,ISOLATE_OR_UNKNOWN__YONGHE_QIANG,31.85,103.83,31.85,38,35,True,False,,no_macroarea_match_by_Language_ID
ZAPOTEC_1578,ISOLATE_OR_UNKNOWN__ZAPOTEC_1578,17.05,-96.72,17.05,49,35,True,False,,no_macroarea_match_by_Language_ID
ZBU,ISOLATE_OR_UNKNOWN__ZBU,32.15,101.7,32.15,35,35,True,False,,no_macroarea_match_by_Language_ID
